80 108
1 2 7295
2 3 -4761
2 50 -2402
3 4 5839
4 5 7193
4 32 -7329
5 6 7283
6 7 6147
7 8 -4345
8 9 -7765
9 10 -5438
10 11 5213
10 10 8599
11 12 8492
11 8 -9597
12 13 471
13 14 5285
14 15 -2852
14 37 4957
15 16 7909
16 17 -9796
17 18 8483
18 19 8515
18 35 -759
19 20 2743
20 21 996
21 22 -2846
22 23 2685
23 24 2914
23 54 -4271
24 25 -9798
25 26 -2458
26 27 -6172
27 28 7367
28 29 -5146
28 44 -5900
29 30 4611
30 31 5991
30 49 4524
31 32 7487
31 45 1882
32 33 5237
33 34 4775
34 35 -7761
34 62 -2313
35 36 2047
35 20 -5490
36 37 -2160
36 74 5995
37 38 9123
38 39 -7633
39 40 3175
40 41 -6545
41 42 5055
41 54 8655
42 43 315
42 74 -2067
43 44 -7859
44 45 -9246
45 46 994
46 47 5455
47 48 -4488
48 49 -64
49 50 -3270
49 14 -6021
50 51 -2686
50 70 8952
51 52 -315
51 18 9479
52 53 -1629
53 54 -2427
53 38 -2538
54 55 5195
55 56 -3787
56 57 -7842
57 58 -2198
57 63 2310
58 59 2409
59 60 -8126
60 61 -393
60 34 -537
61 62 -4020
61 35 1795
62 63 -1263
63 64 1438
63 12 -131
64 65 -3374
65 66 35
65 15 956
66 67 4784
66 44 1116
67 68 7389
68 69 3963
69 70 4653
69 52 4400
70 71 8200
71 72 6553
71 67 -5170
72 73 -2501
73 74 -2466
74 75 -8237
75 76 -1826
76 77 2341
76 76 -3549
77 78 -5002
78 79 -7310
78 9 9370
79 80 -1885
