1000 1344
1 2 7696
1 969 -377
2 3 -1200
2 729 5817
3 4 -1024
4 5 1260
4 955 -1282
5 6 -2134
6 7 1876
7 8 -2146
7 899 -6513
8 9 8467
9 10 9842
10 11 2118
11 12 -294
12 13 -4157
12 339 5730
13 14 5014
13 610 -7140
14 15 9019
14 684 1359
15 16 6075
15 777 9789
16 17 9941
17 18 6279
18 19 -3857
18 846 -5912
19 20 3656
19 83 8453
20 21 9911
20 978 -3370
21 22 274
21 684 -3267
22 23 -676
22 278 -7762
23 24 -8569
23 696 -682
24 25 2733
25 26 -9439
26 27 4569
27 28 2388
28 29 3261
28 955 9354
29 30 5807
30 31 1097
31 32 -1738
32 33 4253
33 34 6622
34 35 -6362
35 36 3726
36 37 197
37 38 8981
38 39 3557
39 40 8226
39 481 -4389
40 41 7060
41 42 -9831
41 987 -7295
42 43 -4698
42 853 1657
43 44 -9689
43 200 9908
44 45 7559
44 543 -7201
45 46 -312
45 686 618
46 47 386
47 48 -7387
48 49 7493
48 14 -8237
49 50 -6666
50 51 -711
50 549 1323
51 52 -8810
52 53 -1032
52 749 -3158
53 54 -3561
53 318 -7216
54 55 5721
55 56 7144
56 57 -1821
57 58 -7521
58 59 7275
59 60 -5502
59 503 8922
60 61 6358
61 62 6328
62 63 5296
62 460 -9148
63 64 4960
64 65 8663
64 264 9
65 66 5590
65 241 5706
66 67 7780
67 68 296
68 69 991
68 722 2872
69 70 -6823
70 71 -6873
70 129 -5288
71 72 -4208
72 73 -8326
73 74 -6298
73 746 -8638
74 75 -7579
74 938 1258
75 76 -8161
75 43 6955
76 77 -973
77 78 -8517
78 79 759
79 80 6965
80 81 -198
80 441 4048
81 82 8491
82 83 5537
83 84 5769
84 85 5300
84 59 -5954
85 86 -3759
85 385 5498
86 87 -3796
87 88 5080
88 89 -7047
89 90 6138
90 91 4067
91 92 -1895
91 475 -1271
92 93 -7778
92 638 6209
93 94 -1529
94 95 6944
95 96 -7675
96 97 9126
97 98 8666
97 410 -3057
98 99 97
98 622 -5030
99 100 -3009
100 101 6079
101 102 -2862
102 103 -9004
103 104 -4942
103 852 9008
104 105 -2447
104 145 2251
105 106 1955
105 512 -7258
106 107 3312
107 108 5263
107 912 -2819
108 109 -8961
108 510 -4436
109 110 -6602
110 111 5555
111 112 -4625
111 687 7231
112 113 3972
113 114 1170
114 115 644
114 145 7325
115 116 -9525
116 117 2379
117 118 -9042
118 119 9841
119 120 1055
119 123 676
120 121 821
121 122 -8673
121 892 -429
122 123 3677
122 32 -7139
123 124 3845
123 275 -1634
124 125 -9720
125 126 4120
126 127 -3257
127 128 -617
127 483 -6716
128 129 7786
129 130 7647
129 919 6774
130 131 5697
130 194 -9361
131 132 1116
132 133 -6533
132 267 -6815
133 134 -6646
134 135 4384
134 948 3602
135 136 -5147
136 137 8160
137 138 6179
138 139 3166
138 445 -8111
139 140 3832
140 141 -680
141 142 3053
142 143 -6019
143 144 -8422
144 145 -1111
145 146 9129
146 147 -1661
146 914 -4584
147 148 -9741
148 149 6056
148 91 6774
149 150 -1490
150 151 -4777
150 780 6381
151 152 -9696
152 153 -898
152 932 -7596
153 154 -8437
154 155 -9475
155 156 -7887
156 157 7494
157 158 -807
158 159 5408
159 160 -2866
160 161 220
161 162 5810
161 711 -1270
162 163 -3510
163 164 -9793
164 165 4059
165 166 -9777
166 167 4648
167 168 -7635
167 192 -7370
168 169 2094
169 170 4669
170 171 -7657
171 172 8165
172 173 3150
173 174 9915
173 280 392
174 175 5029
175 176 3375
175 926 5303
176 177 -6482
176 505 6202
177 178 -5834
177 75 7040
178 179 -2701
178 584 4720
179 180 8538
180 181 -4361
181 182 2652
182 183 -1652
183 184 -5587
184 185 7602
184 164 7323
185 186 495
186 187 354
187 188 -9798
188 189 6191
189 190 -2191
190 191 7232
191 192 -2791
192 193 -9225
193 194 9416
193 793 -7411
194 195 -3543
