100 136
1 2 -3472
1 62 -6458
2 3 -1634
3 4 9487
4 5 7338
5 6 -1606
6 7 -6134
6 96 -3440
7 8 -7658
7 35 5229
8 9 8164
9 10 -8910
9 17 8579
10 11 4419
11 12 -9950
12 13 5406
13 14 8115
13 8 -2733
14 15 7369
15 16 3373
16 17 4559
16 35 9466
17 18 -1158
18 19 8795
18 52 5160
19 20 5379
20 21 -1511
21 22 7024
22 23 -6131
23 24 2655
24 25 5979
25 26 5057
25 66 -2822
26 27 -4003
26 98 2380
27 28 -2640
27 54 5316
28 29 -9397
29 30 -1495
30 31 3164
31 32 3771
32 33 1849
32 17 7103
33 34 4063
34 35 1604
35 36 1254
36 37 1386
37 38 4483
38 39 -7661
39 40 -3082
39 91 -9443
40 41 -4953
40 23 3384
41 42 -1848
41 6 4407
42 43 -2784
43 44 6451
44 45 2386
45 46 -5949
46 47 -6409
47 48 463
48 49 -592
49 50 -5400
50 51 -2732
51 52 9604
51 29 -2426
52 53 1258
52 28 6310
53 54 8180
54 55 -1651
55 56 4978
56 57 -9709
57 58 2077
57 3 -1347
58 59 140
58 27 7874
59 60 7807
59 26 -8499
60 61 9154
60 38 5074
61 62 -9955
62 63 1801
63 64 3789
63 23 -5889
64 65 834
64 27 8216
65 66 5644
65 25 1131
66 67 -2215
67 68 -5758
68 69 1354
69 70 -6856
70 71 -9557
71 72 4443
72 73 5116
72 13 -4300
73 74 4617
73 57 -1159
74 75 8959
74 29 910
75 76 8717
76 77 -8207
77 78 3954
78 79 426
79 80 75
80 81 -8339
81 82 2882
81 27 5318
82 83 3121
82 25 9874
83 84 -295
84 85 -756
85 86 9861
86 87 -7620
86 94 5153
87 88 -1912
88 89 5112
88 22 3279
89 90 -3741
90 91 1257
90 71 -2268
91 92 -5687
91 69 5284
92 93 6813
92 62 -1705
93 94 -3102
93 76 4417
94 95 -8178
95 96 -9358
95 79 903
96 97 7981
96 38 -2045
97 98 6118
98 99 600
98 83 -8893
99 100 2392
