200 269
1 2 -546
2 3 6209
3 4 -4621
4 5 -8292
5 6 -3426
6 7 5182
7 8 -343
7 36 -5977
8 9 8759
9 10 -770
10 11 -9544
11 12 -2072
11 33 1555
12 13 -6992
12 121 6600
13 14 -4046
13 164 -619
14 15 9342
15 16 195
15 113 5016
16 17 6301
16 190 -5534
17 18 3286
17 29 8980
18 19 9472
19 20 1570
20 21 -1438
21 22 -8060
22 23 1541
23 24 -4602
24 25 -4331
24 123 4261
25 26 -9029
26 27 7388
26 77 -8897
27 28 4879
28 29 3634
29 30 -2982
29 26 9938
30 31 -8505
30 128 -2384
31 32 -24
32 33 6240
33 34 2644
33 153 6049
34 35 -4390
34 153 -3771
35 36 5119
36 37 2544
37 38 -7554
38 39 7094
39 40 5216
40 41 4248
41 42 -8327
42 43 -8710
43 44 9783
44 45 -6005
45 46 9178
46 47 4520
46 81 -7028
47 48 3249
47 13 1969
48 49 7708
49 50 1255
49 120 6761
50 51 9732
51 52 -8489
52 53 2761
53 54 5029
54 55 -5485
54 166 -9037
55 56 5148
56 57 -7997
57 58 228
58 59 4293
58 136 -5588
59 60 -9222
59 161 1518
60 61 -3085
61 62 8713
61 79 -2370
62 63 2223
63 64 9601
64 65 -7837
65 66 7059
66 67 9614
66 146 6180
67 68 3808
68 69 -634
69 70 3080
69 87 1461
70 71 8146
71 72 1900
72 73 -4767
73 74 -7086
73 133 9299
74 75 -3463
74 108 8484
75 76 -5420
76 77 -409
76 93 -7294
77 78 -7701
78 79 -7045
79 80 23
80 81 -6504
81 82 4057
82 83 -9787
83 84 -3207
84 85 4405
85 86 -7445
85 68 8706
86 87 6077
87 88 -3937
88 89 -7712
89 90 5977
89 183 2103
90 91 8498
90 97 9790
91 92 -9701
92 93 -5879
92 129 2751
93 94 -7211
94 95 -6738
94 117 -6703
95 96 -4093
96 97 2077
96 200 -2610
97 98 -6896
98 99 -3809
98 4 7642
99 100 1294
100 101 5400
101 102 -2068
102 103 -926
103 104 -1982
104 105 -3080
105 106 -3424
105 170 -7771
106 107 7470
107 108 -1717
107 91 -4849
108 109 4522
108 159 9300
109 110 1311
110 111 -993
110 189 -4034
111 112 3520
111 77 6821
112 113 -6168
112 72 -4911
113 114 1641
114 115 6840
115 116 -8889
116 117 3106
117 118 2257
118 119 -7746
119 120 -1032
119 127 -6903
120 121 -2320
120 76 -2042
121 122 5028
121 7 4365
122 123 6912
122 12 -4100
123 124 -3888
124 125 -5519
124 198 6748
125 126 -2248
125 38 -2769
126 127 4627
126 138 1686
127 128 3158
128 129 7136
128 102 7754
129 130 -9617
130 131 1938
130 88 2997
131 132 7233
131 22 -1045
132 133 8646
133 134 2610
134 135 -9966
135 136 2279
136 137 -6156
137 138 -5205
138 139 8690
139 140 -6543
139 200 2362
140 141 4513
140 186 -4862
141 142 9844
141 16 -2624
142 143 -7645
142 56 -421
143 144 -7717
144 145 9753
145 146 -5072
146 147 -4209
146 9 5066
147 148 9093
148 149 -2187
149 150 -4447
149 93 -8272
150 151 6117
151 152 7466
151 83 -7080
152 153 -8644
153 154 4820
153 192 -5730
154 155 -575
155 156 9917
156 157 -2669
157 158 -3101
157 5 -8617
158 159 -1769
159 160 4962
160 161 -2061
161 162 -9532
162 163 -5106
163 164 -3126
164 165 -6663
164 168 6147
165 166 -1320
165 5 -3686
166 167 -3516
166 95 -305
167 168 -9123
168 169 -4386
168 82 9414
169 170 9192
170 171 427
171 172 -6633
171 144 -1964
172 173 -6789
173 174 7928
173 106 -7502
174 175 7109
175 176 -6733
176 177 7913
176 176 5306
177 178 -4755
178 179 590
179 180 -1991
180 181 9741
181 182 4641
182 183 2022
183 184 -1275
183 122 -1304
184 185 -3028
184 132 -5802
185 186 -5912
185 13 2079
186 187 -3812
187 188 8043
188 189 162
188 45 -3760
189 190 -4653
190 191 1186
191 192 4786
192 193 5904
193 194 -2549
194 195 -3560
195 196 -7867
196 197 -8388
197 198 -6269
198 199 -6503
198 122 -1206
199 200 9304
199 67 5032
