100 129
1 2 -1745
2 3 7063
3 4 -3795
4 5 7213
5 6 4286
6 7 -3967
7 8 -5987
8 9 684
8 54 3538
9 10 -1749
10 11 -6728
11 12 -5014
11 25 -2701
12 13 8450
13 14 3517
13 51 -4615
14 15 9176
15 16 4499
16 17 7057
17 18 8255
17 29 611
18 19 8652
19 20 1617
20 21 7596
20 56 282
21 22 5276
22 23 8972
23 24 -332
24 25 -7927
25 26 -8384
26 27 -6423
27 28 3503
28 29 -2673
29 30 3878
30 31 3039
31 32 -8806
32 33 -9386
33 34 6877
34 35 1434
35 36 7885
36 37 -9725
37 38 5556
37 56 -3070
38 39 -2550
39 40 9495
40 41 -9002
40 14 -1925
41 42 -9136
41 100 5240
42 43 3531
43 44 7468
43 75 -3943
44 45 -9453
44 56 -3274
45 46 -3289
46 47 9976
46 87 1823
47 48 -1273
47 63 -9246
48 49 -7738
48 9 6793
49 50 -7466
49 75 -4541
50 51 6920
51 52 3289
51 28 -2390
52 53 -2415
52 96 -2093
53 54 -6661
54 55 8051
55 56 -7078
56 57 6343
56 19 -3365
57 58 -5894
58 59 -5290
59 60 9034
60 61 -3608
60 39 -8673
61 62 -9168
62 63 -9526
62 29 -6493
63 64 -7999
64 65 -8471
65 66 6496
66 67 8842
67 68 -3552
68 69 -8502
69 70 -8081
70 71 -4351
71 72 3617
71 88 -7473
72 73 659
73 74 6840
74 75 4229
75 76 7378
76 77 -5920
76 56 -7655
77 78 6957
77 72 -6191
78 79 -9956
78 92 -8220
79 80 6861
80 81 -9723
81 82 4770
81 83 5972
82 83 828
83 84 5602
83 93 4181
84 85 -3134
84 50 4988
85 86 -5105
85 56 -6894
86 87 -7439
87 88 6228
88 89 -328
88 10 -1072
89 90 -6161
90 91 9437
90 92 -442
91 92 -1762
92 93 -7634
93 94 3450
93 29 3613
94 95 -3888
95 96 9501
96 97 -1267
97 98 -6243
98 99 -3935
99 100 5779
