200 267
1 2 -1061
2 3 -2939
3 4 -1032
3 165 -3738
4 5 -8418
5 6 -5475
6 7 -5327
7 8 8465
8 9 -3182
9 10 -1887
9 87 9707
10 11 -2445
11 12 -6958
11 59 -2975
12 13 -4405
13 14 9265
13 49 -7073
14 15 5595
15 16 9506
16 17 3769
17 18 677
17 76 5258
18 19 -1046
19 20 -4170
20 21 -1974
21 22 -9812
22 23 3026
22 89 8281
23 24 4111
24 25 749
25 26 -3241
26 27 -3201
26 55 -6291
27 28 -2728
28 29 1603
29 30 -4401
30 31 5364
31 32 1875
31 66 -5398
32 33 2128
33 34 -9153
34 35 7495
34 90 -9586
35 36 -7158
36 37 7657
36 179 -5926
37 38 -1823
38 39 165
38 145 9240
39 40 -1276
40 41 -9977
41 42 -2677
42 43 3970
43 44 9527
44 45 -6264
45 46 -3268
46 47 7121
46 182 -6020
47 48 5340
48 49 7647
48 36 -6340
49 50 5651
50 51 6910
51 52 9305
52 53 -4914
53 54 -68
53 50 7562
54 55 -761
54 194 2912
55 56 -6675
56 57 -7871
56 163 4258
57 58 9262
58 59 7173
59 60 -7291
60 61 -2140
61 62 -8091
62 63 8434
62 181 9237
63 64 8935
64 65 -9339
65 66 8171
66 67 -360
66 146 -5837
67 68 6037
68 69 214
69 70 7337
70 71 -8571
70 14 -8564
71 72 -4157
71 128 -4852
72 73 -8676
72 124 9545
73 74 -201
74 75 -8323
75 76 8133
76 77 9644
77 78 -7103
78 79 2636
79 80 9551
79 142 6184
80 81 -7403
81 82 -8116
81 12 5061
82 83 8153
83 84 -2484
84 85 -4268
85 86 7826
85 196 3184
86 87 6854
86 142 -9721
87 88 8057
88 89 167
89 90 9004
89 108 7556
90 91 -9332
91 92 -5265
92 93 9993
93 94 -1705
94 95 9771
94 10 9284
95 96 -5765
96 97 -2646
96 23 7641
97 98 -6052
98 99 2481
98 9 -6247
99 100 6121
99 157 3683
100 101 4427
101 102 -1762
101 132 8119
102 103 -114
103 104 -1131
103 107 -2744
104 105 962
105 106 689
106 107 3872
106 17 798
107 108 9129
108 109 -2141
108 122 -9407
109 110 -771
109 78 -358
110 111 7785
110 47 -949
111 112 -438
112 113 -6988
113 114 -5899
113 30 -9125
114 115 -9950
114 100 4665
115 116 -7594
116 117 2914
117 118 -7159
117 46 5472
118 119 4003
119 120 -807
120 121 2685
120 74 146
121 122 7517
121 79 -2899
122 123 3414
123 124 -9687
123 163 -4198
124 125 -4070
124 43 2120
125 126 -7934
126 127 4617
126 70 9640
127 128 299
128 129 4159
129 130 4677
129 177 -4836
130 131 9672
130 35 -9002
131 132 5131
132 133 454
133 134 2189
134 135 -8690
135 136 -540
136 137 8850
137 138 6430
137 135 -6224
138 139 -4584
139 140 8137
140 141 6549
140 102 -3865
141 142 -4082
142 143 4428
143 144 -2513
144 145 -5871
145 146 -2574
145 54 -3667
146 147 1098
147 148 60
148 149 6954
149 150 9708
150 151 8190
150 105 -8689
151 152 -898
152 153 3648
153 154 -7194
154 155 -4581
154 119 -3294
155 156 -6931
155 134 8784
156 157 -6653
157 158 -6864
157 22 6556
158 159 1003
158 121 2891
159 160 6545
160 161 5221
161 162 9941
162 163 3753
162 153 -6189
163 164 5010
163 187 -183
164 165 8691
165 166 -3357
165 1 4787
166 167 -3931
167 168 -5957
167 107 -5841
168 169 3724
168 14 -9733
169 170 637
170 171 -8636
171 172 -3800
172 173 5791
173 174 254
173 154 3828
174 175 -6952
174 168 -5599
175 176 -8121
176 177 -9132
177 178 -5345
178 179 7245
179 180 -7551
180 181 -3279
181 182 -9661
182 183 285
182 22 -5740
183 184 -3846
184 185 -2841
185 186 -4877
185 1 2080
186 187 1712
186 150 -2859
187 188 -8653
187 162 -8875
188 189 9585
189 190 2395
189 49 -6471
190 191 -6873
191 192 6938
191 102 -4483
192 193 -7846
192 200 -6378
193 194 -3794
194 195 2988
195 196 -5659
196 197 1458
197 198 9350
198 199 8912
199 200 4669
