400 538
1 2 5197
2 3 8623
3 4 5453
4 5 -5442
5 6 -4837
6 7 -6571
6 244 2114
7 8 -8012
8 9 957
9 10 -8033
9 289 -558
10 11 851
11 12 6986
12 13 -6926
13 14 -3482
13 163 3444
14 15 -6434
15 16 -7199
16 17 5987
16 316 347
17 18 9694
18 19 -3283
18 256 2225
19 20 7742
19 166 98
20 21 -6458
20 215 6970
21 22 -8021
22 23 88
23 24 -4793
24 25 -7005
25 26 2620
26 27 -1429
27 28 -736
28 29 -1798
29 30 -5894
30 31 4537
30 306 6303
31 32 -1965
32 33 3359
33 34 4532
34 35 -7617
35 36 7398
36 37 5340
37 38 -1871
38 39 8674
39 40 3793
40 41 -5578
40 52 5579
41 42 -1634
42 43 6027
43 44 8872
43 289 3033
44 45 7168
44 29 -7941
45 46 3923
46 47 3720
47 48 216
48 49 -5203
48 342 7687
49 50 -6537
50 51 1596
51 52 87
52 53 -4373
53 54 4555
53 343 3877
54 55 3405
54 114 2683
55 56 2216
56 57 -6794
57 58 -930
58 59 -4375
59 60 -2490
60 61 4407
61 62 9727
62 63 2719
63 64 -1966
63 224 -7626
64 65 -3681
64 23 -605
65 66 2623
66 67 5861
67 68 6356
68 69 6803
68 386 3584
69 70 1034
69 67 -4563
70 71 -6423
70 302 3385
71 72 -5235
72 73 7822
73 74 -5358
74 75 -549
75 76 -6059
76 77 -3976
76 53 -3560
77 78 7490
77 99 -4393
78 79 5809
79 80 306
79 62 -9870
80 81 -7368
80 71 9272
81 82 -4829
81 260 -5246
82 83 -8158
83 84 4696
84 85 -3873
85 86 -1042
85 237 4566
86 87 276
87 88 8794
87 248 -7499
88 89 849
89 90 3365
90 91 3252
90 217 4866
91 92 -7476
91 91 -1426
92 93 -3356
92 322 8846
93 94 9165
93 144 9659
94 95 -7718
94 101 -6901
95 96 -7493
96 97 5425
96 366 -9004
97 98 739
98 99 1507
98 103 6211
99 100 -4637
100 101 7231
101 102 -4363
101 225 4136
102 103 3421
103 104 -2702
104 105 6824
105 106 -8008
106 107 -7199
106 260 -7222
107 108 -6927
107 247 8416
108 109 2288
109 110 -4397
110 111 5793
111 112 1101
112 113 -4411
113 114 2222
113 225 7234
114 115 -1087
115 116 -7467
116 117 1617
117 118 -1356
118 119 6673
118 349 4007
119 120 -2502
120 121 8993
121 122 -864
122 123 -466
123 124 6720
123 321 8644
124 125 -304
125 126 -5623
126 127 -2291
127 128 1125
128 129 -3445
128 126 832
129 130 979
129 21 5935
130 131 -2227
131 132 5838
132 133 1800
133 134 -3026
134 135 -3064
135 136 1566
136 137 -8062
137 138 -3164
138 139 2854
138 265 2249
139 140 -3620
139 128 9130
140 141 1601
141 142 8453
142 143 5850
143 144 -8194
144 145 3714
144 388 3619
145 146 -5066
146 147 4201
147 148 7131
147 128 -9768
148 149 -9098
149 150 -424
149 263 1146
150 151 5216
151 152 1905
152 153 -8197
153 154 -213
154 155 7932
155 156 -3973
155 65 3387
156 157 7863
157 158 3583
157 388 -3112
158 159 -5010
159 160 9005
160 161 4875
160 322 -6636
161 162 -9781
162 163 -1094
163 164 -1297
164 165 7484
164 259 9846
165 166 -8874
166 167 -5240
166 7 8395
167 168 -7743
168 169 6354
169 170 -3437
170 171 7329
170 145 -5670
171 172 7658
172 173 -7759
172 50 1741
173 174 -4194
173 390 3376
174 175 4217
175 176 -2152
176 177 -5881
177 178 1218
178 179 6635
179 180 2178
179 104 2188
180 181 6290
181 182 -6153
182 183 4902
183 184 5246
183 144 -5735
184 185 -4938
185 186 -6102
186 187 -4220
187 188 964
188 189 -5428
189 190 5676
190 191 5100
191 192 -7224
191 218 146
192 193 -7196
193 194 -3544
193 275 5024
194 195 1336
194 289 -8458
195 196 1432
196 197 4726
197 198 4656
198 199 8387
199 200 2310
200 201 2171
200 105 -3194
201 202 -5719
201 11 -2781
202 203 498
203 204 -3792
204 205 -1283
205 206 8494
206 207 7625
207 208 -4798
208 209 -3261
209 210 -4755
210 211 1637
210 28 -8381
211 212 -7359
211 142 -4225
212 213 9012
213 214 -9787
213 102 9067
214 215 -7791
215 216 -2281
215 322 996
216 217 -7314
216 353 -8890
217 218 -4596
217 83 4219
218 219 6611
219 220 -6911
220 221 9435
221 222 460
221 73 -7319
222 223 -8224
222 315 2494
223 224 2883
223 36 -9936
224 225 5297
224 129 -3306
225 226 -1077
225 179 3688
226 227 5945
226 318 -5330
227 228 742
228 229 6815
228 184 911
229 230 -9573
230 231 -4591
230 143 -3528
231 232 -6053
232 233 5345
233 234 -7133
234 235 -1229
234 374 8606
235 236 -8401
235 323 -6203
236 237 3436
236 191 -3369
237 238 -1049
237 105 6123
238 239 -3564
238 226 -6109
239 240 4769
239 6 4673
240 241 -7516
241 242 8614
242 243 2791
242 162 -7794
243 244 9275
244 245 3126
244 324 -866
245 246 -1593
246 247 -7349
246 389 3995
247 248 -8367
247 217 7815
248 249 1938
249 250 4242
249 172 -6799
250 251 -7681
251 252 5321
251 82 -2884
252 253 -1458
253 254 -1655
254 255 -9775
255 256 8207
256 257 -7856
256 40 -936
257 258 492
257 201 -1669
258 259 7858
259 260 1525
260 261 2016
260 184 14
261 262 -8307
261 1 -3027
262 263 -2793
262 23 3983
263 264 -1871
264 265 3174
265 266 -9793
266 267 4580
267 268 -3699
267 319 -499
268 269 -5988
268 286 -7893
269 270 1832
269 247 9306
270 271 2044
271 272 -846
272 273 5256
272 272 1669
273 274 -4414
273 248 5114
274 275 5085
274 358 -1364
275 276 1471
276 277 -4356
277 278 5863
278 279 -2579
278 286 4885
279 280 -3314
279 9 -5428
280 281 -5183
280 53 -2920
281 282 8391
282 283 4013
283 284 1937
283 113 2939
284 285 1448
285 286 7342
286 287 4286
287 288 -7580
288 289 -63
288 331 2867
289 290 1120
290 291 -8981
290 172 8719
291 292 2237
292 293 -6857
293 294 -6421
294 295 -7689
295 296 5598
296 297 6017
297 298 0
297 345 4487
298 299 -4884
298 336 323
299 300 -1567
300 301 9056
301 302 6670
301 102 -5670
302 303 -2818
302 225 1161
303 304 8392
303 232 -9678
304 305 -9709
304 86 -9140
305 306 -1410
306 307 -6484
307 308 -7290
308 309 2157
309 310 9338
310 311 -8510
311 312 -6376
312 313 -6934
312 71 6170
313 314 7869
314 315 1811
315 316 -2196
316 317 -8092
317 318 -3792
317 36 -1083
318 319 -825
318 190 -2360
319 320 -844
320 321 -7409
321 322 -3248
322 323 -1866
322 360 -1102
323 324 -868
324 325 9988
324 52 6104
325 326 -4150
325 147 6151
326 327 3372
327 328 -3174
328 329 -521
328 204 -7071
329 330 368
329 91 7947
330 331 -3233
330 300 9002
331 332 -4908
332 333 -2072
332 258 4124
333 334 5476
334 335 9695
334 342 -2062
335 336 4645
336 337 -2327
336 214 -5367
337 338 3789
338 339 5459
338 104 6168
339 340 1485
340 341 9999
340 81 3638
341 342 3947
341 128 3966
342 343 -7459
343 344 3525
344 345 -6158
344 286 5612
345 346 -3711
346 347 9495
347 348 275
348 349 -8481
348 61 -1418
349 350 8605
349 44 -9348
350 351 386
351 352 -8316
352 353 2162
353 354 -6319
354 355 -7223
355 356 5834
356 357 -6844
356 260 7511
357 358 -2244
358 359 4151
359 360 -3798
359 303 1455
