400 518
1 2 -3234
1 240 6026
2 3 6137
2 260 8917
3 4 8274
4 5 3507
5 6 -2161
6 7 -6399
7 8 -6573
7 214 7663
8 9 5942
9 10 1821
9 322 3846
10 11 6405
11 12 6046
11 133 2967
12 13 6891
12 373 -87
13 14 -8783
13 372 5280
14 15 2077
14 209 8377
15 16 9561
16 17 8941
17 18 -900
18 19 -6264
19 20 2265
20 21 6217
20 11 -8969
21 22 5163
21 377 6536
22 23 -7366
23 24 -9268
24 25 5460
24 321 -4789
25 26 832
26 27 5221
27 28 2406
28 29 3822
28 147 -6721
29 30 -6533
30 31 -3642
31 32 -3401
32 33 3157
33 34 3195
34 35 4976
35 36 8958
35 300 8890
36 37 -8420
37 38 7290
37 345 -7225
38 39 3594
39 40 -3562
40 41 7197
41 42 1073
42 43 1076
43 44 8760
44 45 4451
45 46 9709
45 384 -7485
46 47 9202
47 48 -5593
47 59 -944
48 49 7919
49 50 -9992
50 51 3909
51 52 -8803
52 53 3955
52 128 -139
53 54 5509
54 55 8409
55 56 6652
55 166 6213
56 57 -2395
57 58 6894
57 200 3534
58 59 -2315
58 270 9872
59 60 -9858
60 61 672
61 62 6868
62 63 4102
62 196 -3221
63 64 -575
63 82 -4894
64 65 -1435
65 66 -1252
65 111 8716
66 67 3317
67 68 -3239
68 69 -7574
69 70 3794
70 71 3276
70 311 -5679
71 72 7439
72 73 9185
73 74 8732
73 301 7758
74 75 -604
74 137 2029
75 76 -2794
76 77 4312
76 23 -9700
77 78 -4116
78 79 -7500
78 386 -1331
79 80 9258
80 81 -5016
81 82 3100
82 83 6543
83 84 -2854
84 85 -3846
85 86 -6087
86 87 4430
87 88 -1694
88 89 -2737
89 90 491
89 328 4140
90 91 4576
90 2 -4453
91 92 -8906
92 93 -5532
92 31 -1661
93 94 -691
93 326 1174
94 95 3833
95 96 6043
95 297 -2620
96 97 -852
97 98 -4927
98 99 -1034
99 100 -712
100 101 9768
100 31 -9370
101 102 9436
102 103 9549
102 394 -3589
103 104 -5084
103 174 -3647
104 105 -1581
104 205 1460
105 106 85
106 107 -9066
107 108 -7564
108 109 -6214
108 226 8726
109 110 -3476
110 111 9585
110 67 4915
111 112 5249
112 113 -3228
113 114 -5192
114 115 -8777
114 50 -8744
115 116 -173
116 117 -9934
117 118 7842
118 119 -1413
119 120 7669
120 121 606
121 122 8111
122 123 -6224
123 124 -6253
124 125 7548
125 126 -5231
125 136 -2828
126 127 311
127 128 8800
128 129 -4788
129 130 -5778
130 131 934
131 132 3926
132 133 -6482
133 134 1802
134 135 -8622
135 136 2789
136 137 -457
137 138 -2737
138 139 -344
138 379 5152
139 140 9937
140 141 -818
141 142 807
142 143 6532
142 395 4574
143 144 8221
144 145 1915
144 9 778
145 146 6379
145 96 7763
146 147 -3534
147 148 -8533
148 149 2051
148 225 8293
149 150 -3090
150 151 -6437
151 152 -5175
151 309 9853
152 153 8499
152 119 7196
153 154 3046
153 256 5495
154 155 5269
155 156 -6039
156 157 7714
156 385 -9626
157 158 5979
158 159 -925
159 160 1323
159 107 -9302
160 161 -1104
161 162 -8675
162 163 -6976
162 311 -7031
163 164 -8961
164 165 6240
165 166 411
166 167 -491
166 386 8151
167 168 8462
167 240 -869
168 169 8353
169 170 -642
169 318 -3983
170 171 -2096
171 172 552
172 173 -9772
173 174 8691
174 175 -3738
174 353 9358
175 176 -8098
176 177 -4415
177 178 -5069
178 179 -5383
179 180 -2240
179 26 -4933
180 181 5104
181 182 -4483
181 85 -441
182 183 -336
182 221 -292
183 184 -7963
183 152 7028
184 185 1516
184 119 3873
185 186 -5648
186 187 -8673
186 260 5517
187 188 4840
188 189 -3144
189 190 -6308
190 191 -903
191 192 1986
192 193 4548
193 194 9796
194 195 7140
195 196 -6068
196 197 3375
197 198 -2600
197 286 8613
198 199 -8170
198 196 6500
199 200 -1200
200 201 5691
200 15 2404
201 202 4479
202 203 -156
203 204 135
203 397 3982
204 205 -1641
204 192 -6662
205 206 -6807
206 207 9773
206 217 889
207 208 -4530
207 66 -8848
208 209 3710
209 210 -4589
210 211 -9237
211 212 -9614
211 214 -533
212 213 2647
213 214 498
214 215 -9090
215 216 3704
215 39 2226
216 217 5533
216 257 -4791
217 218 -5590
217 333 7507
218 219 -5867
219 220 -2739
220 221 8411
221 222 1420
222 223 -5776
222 53 6370
223 224 8508
224 225 2530
224 94 9571
225 226 -1139
226 227 -7862
226 344 3329
227 228 5337
228 229 5635
229 230 -5203
230 231 -5080
231 232 -6647
232 233 4565
233 234 8329
233 114 -7647
234 235 3209
235 236 -338
236 237 -2222
237 238 6170
238 239 -4344
239 240 -8987
240 241 -8839
241 242 -4475
242 243 -8053
243 244 7953
244 245 3386
245 246 -7459
245 163 268
246 247 -476
247 248 8582
248 249 53
249 250 -8493
250 251 6798
251 252 7972
252 253 1086
253 254 -4629
254 255 1279
255 256 -3324
256 257 -2776
257 258 -5315
258 259 -9600
258 249 9822
259 260 8527
259 243 -6141
260 261 -8740
261 262 8147
262 263 -7361
263 264 5857
263 166 3823
264 265 -3964
265 266 6701
266 267 -7084
267 268 -2784
268 269 438
268 202 -1680
269 270 9088
269 2 6061
270 271 1595
271 272 -5970
271 201 6460
272 273 -4982
272 107 9143
273 274 -644
273 28 -8721
274 275 7171
274 173 -221
275 276 -2385
275 89 9772
276 277 7090
277 278 -5594
278 279 4446
278 198 -5777
279 280 -8535
279 333 -9702
280 281 5848
280 376 -1445
281 282 -3614
282 283 5812
283 284 9444
284 285 4322
284 196 7191
285 286 8080
285 149 9370
286 287 -6359
287 288 6414
288 289 -3444
288 104 2943
289 290 9556
289 75 2477
290 291 4247
291 292 -9973
292 293 1062
292 264 -7099
293 294 -4874
294 295 9498
295 296 3460
296 297 8749
296 71 -645
297 298 -2963
298 299 4342
298 169 7885
299 300 -1742
300 301 6387
301 302 -7296
301 364 -8838
302 303 -1319
303 304 -7528
304 305 1888
305 306 1110
306 307 -8291
307 308 -2328
308 309 8330
309 310 2714
309 104 -833
310 311 1498
311 312 -6780
312 313 -4970
313 314 5997
314 315 -2032
315 316 8245
316 317 -9083
317 318 -3130
317 280 1814
318 319 4248
319 320 -5293
320 321 3994
321 322 3355
322 323 3612
322 199 -3355
323 324 746
324 325 4287
325 326 2522
326 327 -6014
326 273 1576
327 328 5211
328 329 6755
329 330 2893
330 331 -6148
330 314 -1342
331 332 9950
332 333 -8693
333 334 -2191
334 335 -675
335 336 5750
336 337 -9722
336 274 -6865
337 338 -1904
338 339 -7638
339 340 2464
340 341 -8974
341 342 -7638
342 343 3235
342 66 501
343 344 -5273
344 345 -731
345 346 -244
345 139 4942
346 347 -7794
347 348 -5380
348 349 -597
349 350 2807
350 351 7373
350 245 8613
351 352 -3107
352 353 -7507
353 354 6051
353 159 9870
354 355 -7358
355 356 8383
356 357 5633
356 61 4517
357 358 8309
358 359 7469
359 360 -484
360 361 -2281
361 362 -1838
362 363 5636
362 8 -5776
363 364 -9514
364 365 2945
364 152 5423
365 366 -2201
366 367 -2279
367 368 -3257
368 369 -8922
369 370 -698
370 371 -8539
371 372 -72
