200 267
1 2 -599
2 3 -1259
3 4 1324
4 5 5427
4 191 -5741
5 6 -4561
6 7 2850
7 8 -2582
8 9 -8105
9 10 158
10 11 8135
11 12 -8001
12 13 -4367
13 14 -1614
14 15 -8326
15 16 -162
16 17 8922
16 163 2812
17 18 -9360
18 19 -7464
19 20 9352
20 21 -1431
21 22 4145
22 23 -743
23 24 -2206
24 25 1469
25 26 141
25 66 -7363
26 27 1962
27 28 5286
28 29 -3483
29 30 7100
29 195 -1740
30 31 -1916
30 165 1842
31 32 5508
32 33 -5030
32 113 8275
33 34 6728
33 145 7146
34 35 -6363
35 36 -1789
36 37 -6328
36 20 4844
37 38 -1945
38 39 -2190
38 64 -9126
39 40 8805
39 14 -9423
40 41 2340
41 42 -416
42 43 2418
43 44 88
43 133 3799
44 45 7955
45 46 2863
45 36 -8600
46 47 -3181
47 48 3938
48 49 5810
49 50 -3512
49 165 -1242
50 51 -9603
50 27 -2290
51 52 -2025
52 53 2216
53 54 -6094
54 55 2822
55 56 -1085
56 57 -9184
56 80 -7937
57 58 4945
57 74 2731
58 59 -8821
58 80 3132
59 60 -2418
60 61 5636
61 62 1450
61 175 7137
62 63 7179
63 64 4980
64 65 7402
65 66 6588
66 67 6820
67 68 802
67 130 -8718
68 69 -797
69 70 -7253
70 71 -7928
71 72 5774
71 32 -8338
72 73 3885
73 74 -7904
74 75 6183
75 76 5004
75 159 -6483
76 77 4512
76 71 4890
77 78 92
78 79 4683
78 97 -3582
79 80 8532
80 81 8774
80 31 4257
81 82 -1725
82 83 -1394
83 84 -2504
84 85 7320
85 86 2280
86 87 -3296
87 88 -9303
88 89 4169
88 137 -8217
89 90 -9688
90 91 6908
91 92 -598
91 11 8196
92 93 2022
93 94 -7185
93 104 8738
94 95 3493
94 117 -9643
95 96 6153
95 48 -6682
96 97 6394
97 98 -106
98 99 5976
98 101 -4084
99 100 7504
100 101 840
101 102 -9229
102 103 -3780
103 104 -7239
103 114 -4010
104 105 -1758
105 106 -1120
105 157 -7724
106 107 -9196
107 108 5887
108 109 -6920
108 113 -3148
109 110 -5683
109 123 4286
110 111 8206
111 112 5100
112 113 -6816
112 142 -3853
113 114 -2312
114 115 5249
115 116 3293
116 117 2295
117 118 -7482
118 119 -3261
119 120 5378
119 200 2378
120 121 -8758
120 28 2113
121 122 2082
121 91 -6465
122 123 -5741
123 124 -5191
124 125 2226
125 126 5073
126 127 5916
126 18 -1437
127 128 -5356
127 42 -9642
128 129 7059
128 52 5409
129 130 -9122
129 68 -1341
130 131 7054
131 132 -100
131 156 9195
132 133 7525
133 134 -6842
133 29 965
134 135 8554
135 136 6775
136 137 7625
137 138 -2583
137 124 2608
138 139 9790
139 140 6849
140 141 563
141 142 -4742
141 50 -3847
142 143 -2649
143 144 6657
144 145 257
145 146 -2340
146 147 -45
147 148 -9893
148 149 -8482
148 178 5583
149 150 8943
150 151 -271
151 152 5413
151 1 -3164
152 153 -7832
152 128 7145
153 154 552
154 155 -9131
154 47 6645
155 156 7849
155 7 -9606
156 157 -1306
156 174 2579
157 158 3365
158 159 6062
159 160 9309
160 161 5530
161 162 -3669
162 163 -2755
163 164 5177
164 165 7982
165 166 -466
166 167 -7389
167 168 -1960
167 51 -3473
168 169 -2030
169 170 2940
169 57 244
170 171 6111
170 119 -6675
171 172 3005
171 69 730
172 173 -1743
172 3 -4028
173 174 7931
173 129 -8505
174 175 -4017
174 200 910
175 176 -2373
176 177 -3604
177 178 2884
178 179 -6773
179 180 8338
180 181 5780
180 200 7037
181 182 8633
181 129 751
182 183 -78
182 106 2180
183 184 -5721
184 185 9698
185 186 6059
185 165 1899
186 187 9303
187 188 9534
188 189 9633
189 190 -9761
190 191 322
190 164 1461
191 192 6382
191 51 -6767
192 193 7337
193 194 -8901
194 195 4618
195 196 -2924
196 197 9888
196 97 -4451
197 198 -7105
198 199 4205
198 125 -8981
199 200 6637
199 129 -5192
