80 114
1 2 4447
1 71 1974
2 3 -474
2 50 -3207
3 4 4702
3 18 -1288
4 5 -8771
4 70 -5077
5 6 2491
5 42 -7190
6 7 4629
6 3 1597
7 8 -8446
8 9 5035
9 10 5928
9 72 5107
10 11 -5173
10 59 -1037
11 12 -8022
12 13 -2390
13 14 -6156
14 15 7748
14 5 5211
15 16 1918
15 29 -6985
16 17 -1125
17 18 9368
17 21 4277
18 19 -5875
18 63 -5427
19 20 -4820
20 21 -7247
20 24 -9657
21 22 5059
21 21 -3755
22 23 2159
23 24 9978
24 25 -5024
24 74 -5272
25 26 2586
25 65 -5669
26 27 -6619
27 28 4988
28 29 -1414
29 30 9447
30 31 -9301
31 32 3169
32 33 9822
33 34 8689
33 80 2003
34 35 9423
35 36 -9862
36 37 -3638
37 38 996
38 39 -3584
38 57 -4268
39 40 5646
39 65 -9560
40 41 2094
41 42 -7048
41 49 -5293
42 43 9529
43 44 -4058
44 45 -8391
44 37 -4159
45 46 8631
45 23 -3927
46 47 912
46 49 -4427
47 48 -3390
47 71 -3895
48 49 1332
49 50 -5555
50 51 1189
51 52 1331
52 53 7990
52 70 6116
53 54 647
53 3 4154
54 55 -4373
55 56 6011
55 26 -1971
56 57 3089
57 58 3859
58 59 -7408
58 27 5727
59 60 -4943
60 61 8692
60 6 -5224
61 62 3268
61 15 -6870
62 63 4166
62 17 7116
63 64 -1357
63 29 3182
64 65 608
65 66 -3744
66 67 -3616
66 34 261
67 68 -4657
68 69 -3946
69 70 -437
70 71 9324
71 72 -2022
72 73 -840
73 74 4350
74 75 -8640
74 50 8880
75 76 4559
76 77 -1883
77 78 -8539
78 79 3084
78 68 -5245
79 80 109
